source,target,weight
91,995,0.2887839674949646
91,1193,0.22828549146652222
91,2282,0.22757983207702637
451,25,0.24067379534244537
451,2502,0.23905448615550995
451,2736,0.23463496565818787
44,2722,0.2542424499988556
44,1306,0.24533423781394958
44,1293,0.22565950453281403
138,2235,0.26250573992729187
138,3195,0.2388918548822403
138,542,0.23126013576984406
13,2136,0.23663151264190674
13,2324,0.23167026042938232
13,1399,0.22370897233486176
146,517,0.2463180124759674
146,325,0.23189203441143036
146,2822,0.23071938753128052
494,2997,0.2498568445444107
494,2228,0.23696817457675934
494,2657,0.21550922095775604
48,1003,0.27399635314941406
48,1741,0.2472386360168457
48,1208,0.2135336846113205
118,3064,0.2517586946487427
118,1840,0.24438101053237915
118,934,0.23644259572029114
182,813,0.26272889971733093
182,2451,0.251710444688797
182,380,0.24778424203395844
431,605,0.2754623293876648
431,1452,0.2638707756996155
431,1445,0.2182142436504364
88,3374,0.3045034110546112
88,3028,0.23813948035240173
88,1508,0.2370244711637497
93,1239,0.25401121377944946
93,2320,0.20956206321716309
93,1935,0.2084636390209198
38,2400,0.24855221807956696
38,3080,0.20959624648094177
38,2113,0.20927771925926208
75,3365,0.2477499544620514
75,186,0.22462588548660278
75,416,0.22178006172180176
43,3065,0.227443665266037
43,2033,0.22675582766532898
43,1709,0.22088970243930817
452,2914,0.2966077923774719
452,2856,0.24139414727687836
452,2071,0.23084896802902222
10,384,0.24857313930988312
10,2212,0.24437539279460907
10,2362,0.2332845777273178
6,1757,0.32758381962776184
6,553,0.21833866834640503
6,962,0.21600869297981262
161,3244,0.24435953795909882
161,3022,0.23670139908790588
161,127,0.23259131610393524
532,3213,0.26296648383140564
532,2400,0.234463632106781
532,2492,0.20572620630264282
73,3378,0.26460883021354675
73,1555,0.25394895672798157
73,65,0.24540431797504425
177,2973,0.24610264599323273
177,1309,0.23280930519104004
177,993,0.2283589243888855
288,506,0.24505265057086945
288,594,0.2423262596130371
288,2815,0.24072709679603577
1971,165,0.22696645557880402
1971,2981,0.21768131852149963
1971,1793,0.21512402594089508
380,182,0.24778424203395844
380,3354,0.23230767250061035
380,1948,0.22304680943489075
97,300,0.2705094516277313
97,2742,0.25033825635910034
97,1532,0.24883759021759033
70,3151,0.28316396474838257
70,831,0.2599528431892395
70,2889,0.2556745111942291
224,1720,0.26477035880088806
224,1052,0.24939413368701935
224,2295,0.23542732000350952
7,1350,0.23964667320251465
7,2948,0.23394159972667694
7,835,0.23299232125282288
519,2612,0.23148807883262634
519,3340,0.21878139674663544
519,1008,0.20732522010803223
685,915,0.2089792937040329
685,59,0.20629695057868958
685,1603,0.1979411542415619
166,2811,0.3101871907711029
166,1253,0.2569655776023865
166,1526,0.2553137540817261
260,2111,0.267245888710022
260,2699,0.22986023128032684
260,1116,0.22076104581356049
84,1653,0.2182147204875946
84,117,0.21110032498836517
84,2738,0.2108655869960785
5,1746,0.2296781688928604
5,2306,0.22859352827072144
5,1142,0.22631697356700897
447,1031,0.2713317573070526
447,2689,0.24051877856254578
447,2506,0.22411641478538513
220,2428,0.24136991798877716
220,1939,0.22484880685806274
