id,word,weight
0,已经,680
1,非常,522
2,就是,367
3,更加,413
4,一直,416
5,重要,508
6,甚至,278
7,安全,313
8,似乎,279
9,努力,411
10,持续,341
11,最大,330
12,必须,244
13,反对,299
14,严重,334
15,稳定,324
16,不同,260
17,完全,340
18,必要,172
19,较强,1
20,正常,57
21,大幅,103
22,相机,1
23,相对,169
24,稳健,54
25,几乎,208
26,不宜,5
27,更多,79
28,不利,69
29,至今,54
30,重复,16
31,便宜,53
32,短缺,31
33,根本,83
34,严峻,37
35,较大,38
36,长期,214
37,复杂,122
38,逐步,33
39,利好,53
40,相当,119
41,未免,7
42,经常,87
43,艰难,77
44,更为,144
45,当然,123
46,对此,184
47,绝对,37
48,广泛,149
49,充足,35
50,正确,53
51,一边,42
52,尊重,106
53,完美,19
54,被迫,39
55,到底,30
56,深刻,51
57,真正,141
58,蒙蔽,3
59,清单,88
60,坚定,111
61,积极,246
62,有效,151
63,一定,128
64,共同,95
65,详细,37
66,诚意,138
67,耐心,47
68,重大,179
69,软弱,18
70,无疑,74
71,重新,168
72,顺利,51
73,不断,254
74,具体,123
75,繁荣,198
76,明确,197
77,决不,22
78,很足,2
79,干劲,6
80,平淡,7
81,成功,197
82,首先,73
83,失衡,64
84,平衡,213
85,并未,66
86,直接,180
87,极大,117
88,普遍,163
89,正是,79
90,公开,181
91,激烈,87
92,尽早,3
93,同意,151
94,巨大,258
95,一致,94
96,迫切,17
97,健康,175
98,坦诚,39
99,其实,101
100,伟大,140
101,準确,1
102,毫不,4
103,正式,90
104,明显,212
105,不必,19
106,偏好,28
107,尤为,39
108,更是,85
109,凸显,31
110,狡诈,2
111,强硬,109
112,自私,9
113,极限,72
114,长远,33
115,着眼,5
116,必将,32
117,清醒,23
118,尚未,100
119,大于,31
120,更好,59
121,必然,47
122,复兴,74
123,赶上,21
124,自上,5
125,突然,84
126,重建,31
127,一般,64
128,强大,125
129,无效,8
130,也许,80
131,无益,2
132,暂时,46
133,紧张,212
134,不少,81
135,难以,135
136,准确,29
137,渐趋,2
138,先进,46
139,丰富,34
140,互相,23
141,何在,1
142,平定,0
143,永远,39
144,不再,117
145,傲慢,24
146,自由,189
147,长久,7
148,如同,11
149,紧密,53
150,暂停,45
151,先是,9
152,惨烈,1
153,始终,52
154,极为,40
155,粗暴,25
156,壮大,19
157,不满,101
158,从中,41
159,简单,147
160,最好,84
161,尤其,168
162,矛盾,127
163,最新,91
164,伤害,135
165,焦虑,113
166,再次,194
167,适当,22
168,苛刻,11
169,平等,153
170,近乎,8
171,疯狂,35
172,清楚,139
173,向上,3
174,广大,35
175,重振,6
176,迅速,116
177,强劲,61
178,一时,7
179,缓慢,28
180,郑重,6
181,沉寂,3
182,最终,213
183,温和,52
184,的未,2
185,的确,32
186,困难,133
187,究其,3
188,坚决,130
189,乐观,141
190,很小,12
191,首相,18
192,亲密,14
193,切实,62
194,较好,2
195,依然,134
196,极度,24
197,同步,8
198,未敢,0
199,毕竟,36
200,正面,41
201,落差,6
202,真诚,22
203,慢慢,12
204,高效,40
205,耐用,3
206,严格,53
207,或许,110
208,同样,94
209,显著,70
210,相同,19
211,珍贵,6
212,分别,26
213,纯利,1
214,容易,125
215,相继,6
216,更远,1
217,不单,0
218,比较,116
219,愚蠢,25
220,有限,89
221,审慎,30
222,愈发,38
223,纯粹,13
224,势必,20
225,合适,18
226,特别,170
227,未必,17
228,很大,195
229,连日,2
230,谨慎,126
231,特殊,59
232,高速,10
233,到来,78
234,宽松,49
235,再度,40
236,初步,31
237,充当,13
238,落实,82
239,绝不,23
240,纵深,4
241,自重,2
242,容忍,30
243,陆续,5
244,浓厚,12
245,立即,41
246,日渐,11
247,的缓,3
248,深远,17
249,成效,28
250,鲜明,12
251,牢固,7
252,越发,26
253,危险,128
254,不许,10
255,进度,4
256,旋即,0
257,至少,118
258,旺盛,6
259,最高,87
260,庞大,77
261,较为,62
262,仍在,3
263,原先,3
264,尽快,33
265,一旦,60
266,真是,21
267,清晰,57
268,忠实,5
269,老大,10
270,马上,15
271,就要,33
272,颟顸,0
273,自愿,7
274,完整,50
275,格外,20
276,精细,4
277,迟疑,0
278,自然,53
279,大致,21
280,稍为,0
281,立刻,18
282,届时,21
283,不稳,3
284,固执,10
285,或少,1
286,有利,99
287,不乱,2
288,仍然,205
289,萧条,17
290,认真,55
291,确实,107
292,原来,23
293,显然,155
294,密切,72
295,真实,49
296,原意,2
297,深厚,6
298,别扭,0
299,难免,3
300,暂对,0
301,良好,99
302,亲切,11
303,艰苦,37
304,偷来,2
305,务实,28
306,平稳,51
307,逐渐,55
308,不敢,21
309,起步,9
310,罕见,33
311,细细,0
312,较量,12
313,微弱,7
314,究来,0
315,好处,59
316,进步,66
317,充分,75
318,就此,31
319,极其,54
320,尊严,43
321,很薄,0
322,正当,17
323,互为,14
324,不安,65
325,高新,2
326,只许,3
327,永久,20
328,越是,13
329,依次,3
330,难怪,6
331,动辄,12
332,微软,15
333,偏远,8
334,严谨,4
335,大步,1
336,最差,1
337,大亏,3
338,恶劣,18
339,随时,12
340,配套,14
341,缓和,87
342,尽头,10
343,大连,1
344,紊乱,0
345,至此,4
346,稳妥,1
347,自美,1
348,大约,55
349,很快,77
350,微妙,26
351,敏感,118
352,可观,5
353,简直,16
354,快速,60
355,乏力,5
356,低速,0
357,仅仅,31
358,渺茫,8
359,纷纷,37
360,急速,4
361,温暖,6
362,难再,5
363,艰巨,17
364,正好,11
365,真的,92
366,很强,17
367,居然,7
368,越好,1
369,难度,21
370,遽然,1
371,单边,25
372,非凡,4
373,毋须,3
374,灵活,11
375,悲观,43
376,犀利,3
377,果断,11
378,乘下,0
379,一大,19
380,恐难,1
381,历次,1
382,即将,99
383,远远,55
384,坚韧,10
385,历经,7
386,照样,1
387,和谐,21
388,互不,5
389,困惑,31
390,正同,0
391,幸福,20
392,迟迟,10
