source,target,weight
原定,恶搞,0.11158248782157898
原定,惶惶,0.11065268516540527
原定,当非,0.10392136126756668
原定,定其,0.1031511053442955
原定,不惊,0.10296257585287094
直接,旺盛,0.14020100235939026
直接,紧贴,0.11657140403985977
直接,不利,0.11376289278268814
直接,发霉,0.11298170685768127
直接,乏力,0.11283707618713379
甚至,的许,0.13364286720752716
甚至,居多,0.12015444040298462
甚至,气馁,0.11725255101919174
甚至,软软,0.11684079468250275
甚至,清脆,0.10568959265947342
迅速,稍带,0.12842078506946564
迅速,消瘦,0.12554292380809784
迅速,酷热,0.11627804487943649
迅速,连绵,0.11598550528287888
迅速,稍少,0.11342328786849976
正式,沉思,0.12732622027397156
正式,尚远,0.12150507420301437
正式,竟是,0.11919020861387253
正式,趁乱,0.11568751931190491
正式,正熟,0.11187388747930527
分别,单独,0.14123687148094177
分别,暂不,0.12553264200687408
分别,急于,0.10655893385410309
分别,舒达,0.10293193906545639
分别,太穷,0.10254105180501938
更加,渐行,0.11893319338560104
更加,慌张,0.11524971574544907
更加,迟早,0.11352160573005676
更加,临终,0.10208995640277863
更加,务实,0.10198026150465012
一直,越后,0.13288047909736633
一直,短暂,0.11534141004085541
一直,发功,0.1114126518368721
一直,长胖,0.11092320829629898
一直,仍是,0.11084917187690735
其实,平当,0.12436836957931519
其实,诡异,0.11519632488489151
其实,痒痒,0.11310719698667526
其实,至约,0.11309845000505447
其实,的么,0.107487253844738
不同,逐个,0.1167653426527977
不同,連續,0.11004158109426498
不同,独处,0.10337948054075241
不同,不经,0.10252709686756134
不同,很旺,0.10187259316444397
悲观,最高,0.12416692078113556
悲观,较窄,0.11808881908655167
悲观,容错,0.11096452921628952
悲观,嚣张,0.11049434542655945
悲观,慢于,0.10386815667152405
凸显,重心,0.12781552970409393
凸显,一慢,0.1264978051185608
凸显,恨意,0.11674267053604126
凸显,惨重,0.10752802342176437
凸显,恐穆,0.10727214813232422
幸运,轻松,0.11858786642551422
幸运,无痛,0.11535899341106415
幸运,当曾,0.1072118878364563
幸运,更自,0.10719866305589676
幸运,永别,0.10302329063415527
糟糕,较真,0.12470458447933197
糟糕,更正,0.12228903919458389
糟糕,惊骇,0.11784457415342331
糟糕,精壮,0.11555670946836472
糟糕,极大,0.11383234709501266
紧急,威名,0.11966242641210556
紧急,平和,0.11573188751935959
紧急,高定,0.11152955144643784
紧急,清理,0.10845448076725006
紧急,稀烂,0.1058117225766182
重要,配套,0.14130499958992004
重要,絕對,0.1368434578180313
重要,何尝,0.120927594602108
重要,难平,0.11607225239276886
重要,辛苦,0.11441635340452194
复兴,自已,0.10333974659442902
复兴,却未,0.10202046483755112
复兴,正和,0.10057425498962402
复兴,漫漫,0.10047253221273422
复兴,壮大,0.09969205409288406
较量,内疚,0.11338899284601212
较量,强壮,0.11265839636325836
较量,特效,0.10534057021141052
较量,永不,0.10468798875808716
较量,惨重,0.10319139063358307
老大,却越,0.1368248164653778
老大,同处,0.12569615244865417
老大,粗壮,0.12112955003976822
老大,较短,0.1161508858203888
老大,清瘦,0.11034414917230606
到来,刚一,0.11879833787679672
到来,合同,0.11874612420797348
到来,已多,0.11579687893390656
到来,宽条,0.10980596393346786
到来,豁达,0.10861722379922867
已经,已是,0.12787500023841858
已经,全齐,0.11905975639820099
已经,哀恸,0.11296512186527252
已经,率先,0.10427120327949524
已经,终身,0.10316064208745956
稳定,非未,0.11296207457780838
稳定,切开,0.11150660365819931
稳定,尊严,0.10505762696266174
稳定,很傻,0.10462909191846848
稳定,很甜,0.10300526767969131
伟大,立下,0.13304071128368378
伟大,终可,0.11540213227272034
伟大,宁边,0.11424042284488678
伟大,广远,0.11010820418596268
伟大,稍后,0.10963279008865356
激烈,小偷,0.12934237718582153
激烈,炽热,0.12684909999370575
激烈,谦和,0.11727957427501678
激烈,一软,0.11540167778730392
激烈,大便,0.10976450145244598
真正,自觉,0.1500312238931656
真正,香殊,0.13320884108543396
真正,严重,0.1331607848405838
真正,有较,0.12300102412700653
真正,大亏,0.1145574152469635
长期,立中,0.13248513638973236
长期,有进,0.12168114632368088
长期,只好,0.11081677675247192
长期,迅猛,0.10938536375761032
长期,悲哀,0.109054334461689
较大,冷静,0.11527998000383377
